Gene,MoleculeA,MoleculeB,Intact_Miscore
ZNF503,KRTAP19-1,ZNF503,0.56
ZNF503,KRTAP6-2,ZNF503,0.56
ZNF503,ARID5A,ZNF503,0.56
ZNF503,ATN1,ZNF503,0.56
ZNF521,EIF1AD,ZNF521,0.56
ZNF521,RARS1,ZNF521,0.56
ZNF521,HDAC1,ZNF521,0.53
ZNF521,ZNF521,HYOU1,0.4
ZNF521,BRAP,ZNF521,0.37
ZNF536,SOX2,ZNF536,0.48
ZNF536,ZNF536,H1-1,0.4
ZNF536,ZNF536,H1-5,0.4
ZNF536,FOXC2,ZNF536,0.35
ZNF536,FOXJ2,ZNF536,0.35
ZNF536,TEAD2,ZNF536,0.35
ZNF536,EN1,ZNF536,0.27
ZNF536,FOXI1,ZNF536,0.27
ZNF536,FOXL1,ZNF536,0.27
ZNF558,CLK2,ZNF558,0.56
ZNF558,CSNK2A1,ZNF558,0.56
ZNF558,EFEMP2,ZNF558,0.56
ZNF558,EIF1AD,ZNF558,0.56
ZNF572,KRTAP10-8,ZNF572,0.72
ZNF572,LZTS2,ZNF572,0.72
ZNF572,TRIM54,ZNF572,0.72
ZNF578,KRTAP12-3,ZNF578,0.56
ZNF578,386682,ZNF578,0.56
ZNF578,KRTAP10-5,ZNF578,0.56
ZNF578,KRTAP10-7,ZNF578,0.56
ZNF595,KRTAP10-6,ZNF595,0.56
ZNF595,ZNF595,KRTAP10-6,0.56
ZNF595,JUNB,ZNF595,0.4
ZNF595,TRIM28,ZNF595,0.35
ZNF605,APP,ZNF605,0.55
ZNF608,ZNF608,ATN1,0.44
ZNF608,AUTS2,ZNF608,0.35
ZNF608,HDAC1,ZNF608,0.35
ZNF608,RAF1,ZNF608,0.35
ZNF608,SLC16A11,ZNF608,0.35
ZNF608,WDR5,ZNF608,0.35
ZNF608,AR,ZNF608,0.27
ZNF608,EN1,ZNF608,0.27
ZNF608,ERG,ZNF608,0.27
ZNF620,ccsb orf id: 1102,ZNF620,0.56
ZNF620,ABLIM3,ZNF620,0.56
ZNF620,ATG9A,ZNF620,0.56
ZNF620,BFSP2,ZNF620,0.56
ZNF624,MTUS2,ZNF624,0.72
ZNF624,ZNF624,MTUS2,0.72
ZNF624,KRTAP12-2,ZNF624,0.56
ZNF624,BICD2,ZNF624,0.56
ZNF624,GOLGA6L9,ZNF624,0.56
ZNF624,MTUS2,ZNF624,0.56
ZNF638,GDAP1,ZNF638,0.56
ZNF638,YWHAG,ZNF638,0.56
ZNF638,ZNF638,DNM2,0.56
ZNF638,GTF2F2,ZNF638,0.4
ZNF638,RAD51AP2,ZNF638,0.4
ZNF658,TRIM28,ZNF658,0.35
ZNF658,GOLGA2,ZNF658,0.27
ZNF668,ccsb orf id: 52584,ZNF668,0.56
ZNF668,BYSL,ZNF668,0.56
ZNF668,PRPF31,ZNF668,0.56
ZNF668,ZNF165,ZNF668,0.56
ZNF677,ZNF677,PARVG,0.37
ZNF677,ZNF677,WFDC1,0.37
ZNF687,TSPYL2,ZNF687,0.67
ZNF687,ZNF687,TSPYL2,0.67
ZNF687,CSNK2A2,ZNF687,0.64
ZNF687,HDAC1,ZNF687,0.53
ZNF687,TSPYL1,ZNF687,0.53
ZNF697,386682,ZNF697,0.56
ZNF697,KRTAP10-5,ZNF697,0.56
ZNF697,KRTAP10-7,ZNF697,0.56
ZNF697,KRTAP10-8,ZNF697,0.56
ZNF697,KRTAP10-9,ZNF697,0.56
ZNF697,CCNDBP1,ZNF697,0.56
ZNF697,DVL3,ZNF697,0.56
ZNF703,DCAF7,ZNF703,0.78
ZNF703,ZNF703,DCAF7,0.78
ZNF703,ZNF703,HSPD1,0.46
ZNF711,PHF8,ZNF711,0.69
ZNF717,CBX8,ZNF717,0.35
ZNF750,CTBP2,ZNF750,0.56
ZNF765,ccsb orf id: 11745,ZNF765,0.56
ZNF765,ARID5A,ZNF765,0.56
ZNF765,CENPP,ZNF765,0.56
ZNF765,DZIP3,ZNF765,0.56
ZNF765,INCA1,ZNF765,0.56
ZNF765,MCCD1,ZNF765,0.56
ZNF765,OTX2,ZNF765,0.56
ZNF765,REL,ZNF765,0.56
ZNF765,USHBP1,ZNF765,0.56
ZNF770,USP20,ZNF770,0.4
ZNF770,ZNF770,GGH,0.4
ZNF770,CFTR,ZNF770,0.37
ZNF770,C6orf11,ZNF770,0.35
ZNF770,CACNG5,ZNF770,0.35
ZNF770,E4F1,ZNF770,0.35
ZNF770,MACROH2A2,ZNF770,0.35
ZNF770,MPHOSPH8,ZNF770,0.35
ZNF770,MRPS34,ZNF770,0.35
ZNF778,KRTAP10-7,ZNF778,0.56
ZNF778,CYB5R2,ZNF778,0.56
ZNF778,ZNF778,KRTAP10-7,0.56
ZNF778,VCP,ZNF778,0.35
ZNF804A,CRK,ZNF804A,0.44
ZNF804A,ZNF804A,HNRNPC,0.4
ZNF804A,ZNF804A,HSPA8,0.4
ZNF804A,ATXN1,ZNF804A,0.37
ZNF804B,ZNF804B,KRT8,0.4
ZNF823,CDK6,ZNF823,0.44
ZNF823,ZNF823,PAK1,0.37
ZNF830,AQR,ZNF830,0.76
ZNF844,KRT40,ZNF844,0.72
ZNF844,MDFI,ZNF844,0.72
ZNF844,NDEL1,ZNF844,0.72
ZNF844,ZNF844,KRT40,0.72
ZNRF3,RSPO1,ZNRF3,0.7
ZNRF3,ZNRF3,RSPO1,0.7
ZNRF3,TTMP,ZNRF3,0.56
ZPBP2,ZPBP2,FSTL1,0.35
ZPBP2,ZPBP2,IL17RA,0.35
ZPBP2,ZPBP2,NPTX1,0.35
ZPBP2,ZPBP2,OS9,0.35
ZPBP2,ZPBP2,PPP1R1A,0.35
ZPBP2,ZPBP2,PROS1,0.35
ZPBP2,ZPBP2,SEL1L,0.35
ZPBP2,ZPBP2,TUBB8,0.35
ZPBP2,ZPBP2,ZNF146,0.35
ZRANB3,ZRANB3,PCNA,0.6
ZRANB3,H3C13,ZRANB3,0.4
ZRANB3,KPNA4,ZRANB3,0.4
ZRSR2,SRPK2,ZRSR2,0.79
ZRSR2,ZRSR2,SRPK2,0.79
ZRSR2,SDCBP2,ZRSR2,0.78
ZRSR2,ZRSR2,SDCBP2,0.78
ZSCAN31,ZSCAN31,SPRED1,0.56
ZSCAN31,DDIT3,ZSCAN31,0.37
ZSCAN31,ZSCAN31,BBX,0.35
ZSCAN31,ZSCAN31,CDKN2AIP,0.35
ZSCAN31,ZSCAN31,DHX57,0.35
ZSCAN31,ZSCAN31,LENG8,0.35
ZSCAN31,ZSCAN31,MTMR4,0.35
ZSCAN4,CIB3,ZSCAN4,0.56
ZSCAN4,CTBP2,ZSCAN4,0.56
ZSCAN4,EXOC8,ZSCAN4,0.56
ZSCAN4,FAM110A,ZSCAN4,0.56
ZSCAN4,HAT1,ZSCAN4,0.56
ZSWIM3,CCDC57,ZSWIM3,0.56
ZSWIM3,GMCL1,ZSWIM3,0.56
ZSWIM3,TRAF2,ZSWIM3,0.56
ZSWIM3,ZSWIM3,CCDC57,0.56
ZSWIM3,ZSWIM3,GMCL1,0.56
ZSWIM3,ZSWIM3,TRAF2,0.56
ZSWIM3,PPP1CA,ZSWIM3,0.44
ZSWIM6,CDC42,ZSWIM6,0.35
ZSWIM6,GLMN,ZSWIM6,0.35
ZSWIM6,HNRNPH2,ZSWIM6,0.35
ZSWIM6,ZWINT,ZSWIM6,0.35
ZSWIM7,SWSAP1,ZSWIM7,0.87
ZSWIM7,ZSWIM7,SWSAP1,0.87
ZWILCH,ZW10,ZWILCH,0.6
ZWILCH,KNTC1,ZWILCH,0.54
ZWINT,NDC80,ZWINT,0.91
ZWINT,ZWINT,NDC80,0.91
ZZEF1,HSPB3,ZZEF1,0.37
ZZEF1,PHYHIP,ZZEF1,0.37
ZZEF1,PTPN4,ZZEF1,0.37
ZZEF1,ZZEF1,SKIL,0.37
ZZEF1,ACSBG2,ZZEF1,0.35
ZZEF1,ANGPT2,ZZEF1,0.35
ZZEF1,CAVIN1,ZZEF1,0.35
ZZEF1,CCNG1,ZZEF1,0.35
