Gene,MoleculeA,MoleculeB,Intact_Miscore
SUPT7L,ATXN7L3,SUPT7L,0.35
SUPT7L,CDK8,SUPT7L,0.35
SUZ12,EZH2,SUZ12,0.95
SWAP70,RAPGEF4,SWAP70,0.67
SWAP70,SARS1,SWAP70,0.56
SWAP70,SLC16A1,SWAP70,0.56
SYNCRIP,SYNCRIP,YBX1,0.77
SYNCRIP,YBX1,SYNCRIP,0.77
SYNCRIP,PRMT8,SYNCRIP,0.71
SYNE1,SUN2,SYNE1,0.81
SYNE1,SYNE1,SUN2,0.81
SYNE1,SUN1,SYNE1,0.71
SYNE2,SUN2,SYNE2,0.85
SYNE2,SYNE2,SUN2,0.85
SYNE3,SUN2,SYNE3,0.56
SYNGR2,SCARA3,SYNGR2,0.56
SYNGR2,SYNGR2,SCARA3,0.56
SYNGR2,SYNGR2,BDKRB2,0.37
SYNGR2,SYNGR2,C5AR2,0.37
SYNGR2,SYNGR2,CCR4,0.37
SYNGR2,SYNGR2,DRD2,0.37
SYNGR2,SYNGR2,F2RL1,0.37
SYNRG,APPBP2,SYNRG,0.56
SYNRG,SYNRG,APPBP2,0.56
SYNRG,SYNRG,GGA1,0.44
SYNRG,SYNRG,GGA2,0.44
SYNRG,MAPT,SYNRG,0.42
SYT10,SYT3,SYT10,0.35
SYT10,SYT6,SYT10,0.35
SYT4,SGTA,SYT4,0.78
SYT4,SYT4,SGTA,0.78
SYTL1,RAB27A,SYTL1,0.56
SYTL2,PPP1CA,SYTL2,0.59
SYTL2,SYTL2,PPP1CA,0.59
SYTL2,LNX1,SYTL2,0.56
SYTL2,MORN4,SYTL2,0.56
SZT2,SZT2,WDR24,0.6
SZT2,WDR24,SZT2,0.6
SZT2,CRX,SZT2,0.56
SZT2,REL,SZT2,0.56
SZT2,SZT2,CRX,0.56
TAB3,MAP3K7CL,TAB3,0.72
TAB3,TAB3,MAP3K7CL,0.72
TAB3,MAP3K7,TAB3,0.71
TAB3,TAB3,MAP3K7,0.71
TAF1L,PSTPIP1,TAF1L,0.4
TAF1L,TBP,TAF1L,0.37
TAF1L,ESR1,TAF1L,0.35
TAF1L,AURKAIP1,TAF1L,0.27
TAF1L,FLT3,TAF1L,0.27
TAF1L,LHX3,TAF1L,0.27
TAF1L,LHX4,TAF1L,0.27
TAL1,TAL1,TCF3,0.84
TAL1,TCF3,TAL1,0.84
TAL1,TAL1,TCF12,0.78
TAL2,TCF4,TAL2,0.56
TAL2,LMO2,TAL2,0.37
TAL2,RUNX1T1,TAL2,0.37
TAL2,TAL2,CBFA2T2,0.37
TAL2,TAL2,PCBD2,0.37
TAMM41,TAMM41,BCKDHA,0.4
TAMM41,TAMM41,SPTAN1,0.4
TAMM41,APBA3,TAMM41,0.35
TAMM41,APBB1,TAMM41,0.35
TAMM41,CD70,TAMM41,0.35
TAMM41,COQ9,TAMM41,0.35
TAMM41,FAM174A,TAMM41,0.35
TAP1,TAP1,TAP2,0.93
TAP1,TAP2,TAP1,0.93
TAP2,TAP1,TAP2,0.93
TAP2,TAP2,TAP1,0.93
TAS2R60,TAS2R60,DAPK1,0.44
TAS2R60,TAS2R60,LRRK2,0.44
TAS2R60,TAS2R60,MFHAS1,0.44
TBC1D12,NEK4,TBC1D12,0.35
TBC1D13,ARHGEF5,TBC1D13,0.56
TBC1D13,PLIN3,TBC1D13,0.56
TBC1D13,SPDYE4,TBC1D13,0.56
TBC1D13,TBC1D13,ARHGEF5,0.56
TBC1D13,TBC1D13,PLIN3,0.56
TBC1D22A,ACBD3,TBC1D22A,0.64
TBC1D22A,TBC1D22A,ACBD3,0.64
TBC1D32,CFAP20,TBC1D32,0.51
TBC1D32,FAM149B1,TBC1D32,0.4
TBC1D32,TBC1D32,H1-5,0.4
TBC1D32,CDK7,TBC1D32,0.35
TBC1D32,CFAP20,TBC1D32,0.35
TBC1D32,FOXJ1,TBC1D32,0.35
TBC1D7,TBC1D7,TRAF4,0.84
TBC1D7,TRAF4,TBC1D7,0.84
TBC1D7,HOOK1,TBC1D7,0.78
TBK1,IRF3,TBK1,0.92
TBK1,TANK,TBK1,0.92
TBKBP1,TBK1,TBKBP1,0.86
TBKBP1,TBKBP1,TBK1,0.86
TBKBP1,IKBKE,TBKBP1,0.72
TBL1XR1,ATXN1,TBL1XR1,0.7
TBL1XR1,ARL2,TBL1XR1,0.67
TBL1XR1,TBL1XR1,ARL2,0.67
TBL2,TBL2,MEOX2,0.56
TBL2,ESR1,TBL2,0.53
TBL2,USP44,TBL2,0.4
TBR1,ATXN1,TBR1,0.66
TBR1,TBR1,ATXN1,0.66
TBR1,APP,TBR1,0.56
TBX18,TBX18,KRTAP8-1,0.56
TBX18,TBX18,ARC,0.56
TBX18,TBX18,PLEKHG4,0.56
TBX18,TBX18,TRAF1,0.56
TBX22,VENTX,TBX22,0.72
TBX22,ATXN1,TBX22,0.56
TBX22,ATXN3,TBX22,0.56
TBX3,ccsb orf id: 9453,TBX3,0.56
TBX3,CA8,TBX3,0.56
TBX3,TBX3,ccsb orf id: 9453,0.56
TBX3,TBX3,CA8,0.56
TBX3,TBX3,CSF3,0.56
TCAF1,IKZF3,TCAF1,0.74
TCAF1,SF3B4,TCAF1,0.74
TCAF1,TCAF1,IKZF3,0.74
TCAF1,TCAF1,SF3B4,0.74
TCEA1,POLR2A,TCEA1,0.71
TCEA1,TCEA1,POLR2A,0.71
TCEA1,PAF1,TCEA1,0.58
TCEA1,TCEA1,LEO1,0.58
TCEAL6,TCEAL6,SMAD2,0.4
TCERG1,TCERG1,TCERG1,0.64
TCF12,NEUROG3,TCF12,0.78
TCF12,TAL1,TCF12,0.78
TCF21,SDCBP,TCF21,0.56
TCF21,TCF21,APP,0.56
TCF21,TCF21,MYOD1,0.56
TCF21,TCF21,TCF12,0.56
TCF3,TAL1,TCF3,0.84
TCF3,TCF3,TAL1,0.84
TCF7L2,CTNNB1,TCF7L2,0.97
TCHH,EFHD1,TCHH,0.4
TCHH,TCHH,LMNA,0.4
TCHH,CCND1,TCHH,0.35
TCHH,EZR,TCHH,0.35
TCHH,NSMAF,TCHH,0.35
TCHH,OAZ3,TCHH,0.35
TCHH,TBC1D14,TCHH,0.35
TCL1A,CALCOCO2,TCL1A,0.87
TCL1A,TCL1A,CALCOCO2,0.87
TCL1B,BAG4,TCL1B,0.56
TCL1B,GLRX3,TCL1B,0.56
TCL1B,LSM1,TCL1B,0.56
TCL1B,LSM5,TCL1B,0.56
TCL1B,LSM7,TCL1B,0.56
TCL1B,MARK1,TCL1B,0.56
TCP11L2,TCP11L2,TUBA4A,0.67
TCP11L2,TUBA1A,TCP11L2,0.67
TCP11L2,TUBA4A,TCP11L2,0.67
TDG,SUMO1,TDG,0.67
TDG,TDG,SUMO1,0.67
TDG,AICDA,TDG,0.58
TDG,NCOA1,TDG,0.58
TDRD5,TDRD5,EIF4B,0.35
TDRD5,TDRD5,FABP5,0.35
TDRD5,TDRD5,PRSS3,0.35
TDRD5,TDRD5,SRSF9,0.35
TDRD5,TDRD5,TUBA1B,0.35
TDRD5,TDRD5,UBB,0.35
TEDC2,386682,TEDC2,0.56
TEDC2,KRTAP10-7,TEDC2,0.56
TEDC2,KRTAP10-9,TEDC2,0.56
TEDC2,NOTCH2NLA,TEDC2,0.56
TEDC2,TEDC2,386682,0.56
TEDC2,TEDC2,KRTAP10-7,0.56
TEDC2,TEDC2,KRTAP10-9,0.56
TEK,ANGPT2,TEK,0.74
TENM2,CD9,TENM2,0.46
TENM2,DISC1,TENM2,0.37
TENM2,CD81,TENM2,0.35
TENM2,DCAF4,TENM2,0.35
TENM2,MYC,TENM2,0.35
TENT4B,C6orf11,TENT4B,0.35
TENT4B,CNBP,TENT4B,0.35
TENT4B,DGCR8,TENT4B,0.35
TENT4B,ESR1,TENT4B,0.35
TENT4B,MKI67,TENT4B,0.35
TENT4B,MNDA,TENT4B,0.35
TENT5C,RHOXF2,TENT5C,0.56
TENT5C,AP2B1,TENT5C,0.37
TENT5C,DAZAP2,TENT5C,0.37
TENT5C,MVP,TENT5C,0.37
TENT5C,PLK4,TENT5C,0.37
TENT5C,PRKN,TENT5C,0.37
TENT5C,TENT5C,SF1,0.37
TENT5D,KRTAP11-1,TENT5D,0.56
TENT5D,KRTAP6-2,TENT5D,0.56
TENT5D,KRTAP19-2,TENT5D,0.56
TENT5D,ARID5A,TENT5D,0.56
TENT5D,C10orf55,TENT5D,0.56
TENT5D,C1orf94,TENT5D,0.56
TENT5D,MSX2,TENT5D,0.56
TENT5D,PLEKHG4,TENT5D,0.56
TENT5D,PTPN3,TENT5D,0.56
TESC,SLC9A1,TESC,0.72
TESC,TESC,SLC9A1,0.72
TESC,TESC,WBP11,0.56
TESC,WBP11,TESC,0.56
TET1,OGT,TET1,0.53
TET1,TET1,OGT,0.53
TET2,OGT,TET2,0.66
TET2,TET2,OGT,0.66
TET2,TET2,WT1,0.6
TET3,OGT,TET3,0.74
TET3,TET3,OGT,0.74
TET3,BAG2,TET3,0.4
TEX14,CEP55,TEX14,0.72
TEX14,TEX14,CEP55,0.72
TEX15,TEX15,GOLGA2,0.4
TEX15,TEX15,H2BC9,0.4
TEX15,TEX15,RPL19,0.4
TEX15,ATF6B,TEX15,0.35
TEX15,COLQ,TEX15,0.35
TEX15,PTBP3,TEX15,0.35
TEX15,SERPINC1,TEX15,0.35
TEX44,CPT1B,TEX44,0.72
TEX44,TEX44,CPT1B,0.72
TEX44,APOC1,TEX44,0.56
TEX44,MPC2,TEX44,0.56
TEX44,SYPL1,TEX44,0.56
TEX44,TEX44,APOC1,0.56
TFAP2A,TFAP2A,GSTO2,0.72
TFAP2A,GSTO2,TFAP2A,0.67
TFAP2A,TFAP2A,GSTO2,0.67
TFAP2D,KRTAP1-1,TFAP2D,0.56
TFAP2D,KRTAP15-1,TFAP2D,0.56
TFAP2D,KRTAP6-1,TFAP2D,0.56
TFAP2D,KRTAP26-1,TFAP2D,0.56
TFAP2D,ccsb orf id: 100064146,TFAP2D,0.56
TFAP2D,KRTAP6-2,TFAP2D,0.56
TFAP2D,KRTAP19-2,TFAP2D,0.56
TFAP2D,KRTAP1-3,TFAP2D,0.56
TFAP2D,KRTAP12-3,TFAP2D,0.56
TFAP2D,KRTAP19-6,TFAP2D,0.56
TFAP4,EXOSC8,TFAP4,0.72
TFAP4,GOLGA2,TFAP4,0.72
TFAP4,TFAP4,EXOSC8,0.72
TFAP4,TFAP4,GOLGA2,0.72
TFDP1,E2F1,TFDP1,0.95
TFE3,LAMTOR3,TFE3,0.56
TFE3,TFE3,LAMTOR3,0.56
TFE3,TFEB,TFE3,0.53
TFE3,7657431,TFE3,0.4
TFE3,ECHS1,TFE3,0.4
TFE3,MITF,TFE3,0.4
TFE3,RPGRIP1,TFE3,0.4
TFE3,TFE3,42476166,0.4
TFEB,TFEB,YWHAE,0.56
TFEB,YWHAE,TFEB,0.56
